""2019-08-02 10:43:55 [Thread-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
""2019-08-02 10:43:57 [restartedMain] INFO  c.t.apps.LoginAppsApplication - Starting LoginAppsApplication on ADMIN-PC with PID 7956 (C:\Users\ADMIN\git\Login-Management\LoginApps_V3\target\classes started by ADMIN in C:\Users\ADMIN\git\Login-Management\LoginApps_V3)
""2019-08-02 10:43:57 [restartedMain] INFO  c.t.apps.LoginAppsApplication - No active profile set, falling back to default profiles: default
""2019-08-02 10:43:58 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
""2019-08-02 10:43:58 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 134ms. Found 13 repository interfaces.
""2019-08-02 10:43:58 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$3c48c9e4] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2019-08-02 10:43:58 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8089 (http)
""2019-08-02 10:43:58 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2019-08-02 10:43:58 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.17]
""2019-08-02 10:43:59 [restartedMain] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
""2019-08-02 10:43:59 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2019-08-02 10:43:59 [restartedMain] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1593 ms
""2019-08-02 10:43:59 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Starting...
""2019-08-02 10:43:59 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Start completed.
""2019-08-02 10:43:59 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
""2019-08-02 10:43:59 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
""2019-08-02 10:44:02 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2019-08-02 10:44:02 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2019-08-02 10:44:02 [restartedMain] INFO  o.h.h.i.QueryTranslatorFactoryInitiator - HHH000397: Using ASTQueryTranslatorFactory
""2019-08-02 10:44:02 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/resources/**'], []
""2019-08-02 10:44:02 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/static/**'], []
""2019-08-02 10:44:02 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/customCss/**'], []
""2019-08-02 10:44:02 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/images/**'], []
""2019-08-02 10:44:02 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7830078d, org.springframework.security.web.context.SecurityContextPersistenceFilter@5edbd2e2, org.springframework.security.web.header.HeaderWriterFilter@1d16ff84, org.springframework.security.web.authentication.logout.LogoutFilter@5b213c3b, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@407dfc24, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3ce2e76e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1622c5a9, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4cf4e11e, org.springframework.security.web.session.SessionManagementFilter@44a13df3, org.springframework.security.web.access.ExceptionTranslationFilter@517675b2, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@689cc4db]
""2019-08-02 10:44:03 [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
""2019-08-02 10:44:03 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2019-08-02 10:44:03 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8089 (http) with context path ''
""2019-08-02 10:44:03 [restartedMain] INFO  c.t.apps.LoginAppsApplication - Started LoginAppsApplication in 6.076 seconds (JVM running for 335.418)
""2019-08-02 10:44:03 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
""2019-08-02 10:44:11 [Thread-10] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
""2019-08-02 10:44:11 [Thread-10] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
""2019-08-02 10:44:11 [Thread-10] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown initiated...
""2019-08-02 10:44:11 [Thread-10] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown completed.
""2019-08-02 10:44:11 [restartedMain] INFO  c.t.apps.LoginAppsApplication - Starting LoginAppsApplication on ADMIN-PC with PID 7956 (C:\Users\ADMIN\git\Login-Management\LoginApps_V3\target\classes started by ADMIN in C:\Users\ADMIN\git\Login-Management\LoginApps_V3)
""2019-08-02 10:44:11 [restartedMain] INFO  c.t.apps.LoginAppsApplication - No active profile set, falling back to default profiles: default
""2019-08-02 10:44:12 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
""2019-08-02 10:44:12 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 110ms. Found 13 repository interfaces.
""2019-08-02 10:44:12 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$3c48c9e4] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2019-08-02 10:44:12 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8089 (http)
""2019-08-02 10:44:12 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2019-08-02 10:44:12 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.17]
""2019-08-02 10:44:12 [restartedMain] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
""2019-08-02 10:44:12 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2019-08-02 10:44:12 [restartedMain] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1347 ms
""2019-08-02 10:44:13 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Starting...
""2019-08-02 10:44:13 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Start completed.
""2019-08-02 10:44:13 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
""2019-08-02 10:44:13 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
""2019-08-02 10:44:15 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2019-08-02 10:44:15 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2019-08-02 10:44:15 [restartedMain] INFO  o.h.h.i.QueryTranslatorFactoryInitiator - HHH000397: Using ASTQueryTranslatorFactory
""2019-08-02 10:44:16 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/resources/**'], []
""2019-08-02 10:44:16 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/static/**'], []
""2019-08-02 10:44:16 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/customCss/**'], []
""2019-08-02 10:44:16 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/images/**'], []
""2019-08-02 10:44:16 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1a0236ae, org.springframework.security.web.context.SecurityContextPersistenceFilter@525eab94, org.springframework.security.web.header.HeaderWriterFilter@16e68c5a, org.springframework.security.web.authentication.logout.LogoutFilter@33a8ce0d, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@5fe7a5da, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7ac81095, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@586ed7ca, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7765a87c, org.springframework.security.web.session.SessionManagementFilter@7b1207e5, org.springframework.security.web.access.ExceptionTranslationFilter@2d00a7c5, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@fbf5ee6]
""2019-08-02 10:44:16 [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
""2019-08-02 10:44:16 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2019-08-02 10:44:16 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8089 (http) with context path ''
""2019-08-02 10:44:16 [restartedMain] INFO  c.t.apps.LoginAppsApplication - Started LoginAppsApplication in 5.273 seconds (JVM running for 348.738)
""2019-08-02 10:44:16 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
""2019-08-02 10:44:29 [http-nio-8089-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2019-08-02 10:44:29 [http-nio-8089-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
""2019-08-02 10:44:29 [http-nio-8089-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 29 ms
""2019-08-02 10:44:34 [http-nio-8089-exec-4] INFO  c.t.a.l.EmployeeAuthenticationSuccessHandler - INSIDE EmployeeAuthenticationSuccessHandler  username ::avinash.singh@transformedge.com
""2019-08-02 10:44:34 [http-nio-8089-exec-4] INFO  c.t.a.l.LoginLogoutDateTimeComponent - INSIDE  LoginLogoutDateTimeComponent CALLING METHOD saveLoginLogoutDateTimeWithUser
""2019-08-02 10:44:35 [http-nio-8089-exec-4] INFO  c.t.a.l.LoginLogoutDateTimeComponent - The ip Address of the system is ::192.168.1.8
""2019-08-02 10:44:35 [http-nio-8089-exec-4] INFO  c.t.a.l.LoginLogoutDateTimeComponent - the user loggedin into this ip is ::null
""2019-08-02 10:44:37 [http-nio-8089-exec-6] INFO  c.t.a.controller.EmployeeController - INSIDE EmployeeController START METHOD getLoggedInEmployeeInfoByMailId:
""2019-08-02 10:44:38 [http-nio-8089-exec-5] INFO  c.t.a.c.PageRedirectController - INSIDE PageRedirectController START METHOD registerPage
""2019-08-02 10:44:40 [http-nio-8089-exec-4] INFO  c.t.apps.controller.TaskController - INSIDE TaskController START METHOD getAllTask
""2019-08-02 10:45:04 [http-nio-8089-exec-2] INFO  c.t.apps.controller.TaskController - INSIDE TaskController START METHOD saveTaskForEmployee
""2019-08-02 10:45:04 [http-nio-8089-exec-2] INFO  c.t.apps.serviceimpl.TaskServiceIMPL - INSIDE TaskServiceIMPL START METHOD saveTaskDetails
""2019-08-02 10:45:04 [pool-2-thread-1] INFO  c.t.a.u.MailsUtils$$EnhancerBySpringCGLIB$$408dd7c5 - INSIDE MailsUtils START sendAssignedTaskDetailsToSupervisor METHOD
""2019-08-02 10:45:06 [http-nio-8089-exec-1] INFO  c.t.apps.controller.TaskController - INSIDE TaskController START METHOD getAllTask
""2019-08-02 10:46:21 [Thread-16] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
""2019-08-02 10:46:21 [Thread-16] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
""2019-08-02 10:46:21 [Thread-16] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Shutdown initiated...
""2019-08-02 10:46:21 [Thread-16] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Shutdown completed.
""2019-08-02 10:46:21 [restartedMain] INFO  c.t.apps.LoginAppsApplication - Starting LoginAppsApplication on ADMIN-PC with PID 7956 (C:\Users\ADMIN\git\Login-Management\LoginApps_V3\target\classes started by ADMIN in C:\Users\ADMIN\git\Login-Management\LoginApps_V3)
""2019-08-02 10:46:21 [restartedMain] INFO  c.t.apps.LoginAppsApplication - No active profile set, falling back to default profiles: default
""2019-08-02 10:46:22 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
""2019-08-02 10:46:22 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 86ms. Found 13 repository interfaces.
""2019-08-02 10:46:22 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$3c48c9e4] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2019-08-02 10:46:23 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8089 (http)
""2019-08-02 10:46:23 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2019-08-02 10:46:23 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.17]
""2019-08-02 10:46:23 [restartedMain] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
""2019-08-02 10:46:23 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2019-08-02 10:46:23 [restartedMain] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1545 ms
""2019-08-02 10:46:23 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-4 - Starting...
""2019-08-02 10:46:23 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-4 - Start completed.
""2019-08-02 10:46:23 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
""2019-08-02 10:46:23 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
""2019-08-02 10:46:26 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2019-08-02 10:46:26 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2019-08-02 10:46:26 [restartedMain] INFO  o.h.h.i.QueryTranslatorFactoryInitiator - HHH000397: Using ASTQueryTranslatorFactory
""2019-08-02 10:46:26 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/resources/**'], []
""2019-08-02 10:46:26 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/static/**'], []
""2019-08-02 10:46:26 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/customCss/**'], []
""2019-08-02 10:46:26 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/images/**'], []
""2019-08-02 10:46:26 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5f31046d, org.springframework.security.web.context.SecurityContextPersistenceFilter@33b22586, org.springframework.security.web.header.HeaderWriterFilter@36b81f15, org.springframework.security.web.authentication.logout.LogoutFilter@4f9ad724, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@342a1936, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@53f373f0, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@25459e2c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@55664128, org.springframework.security.web.session.SessionManagementFilter@53773858, org.springframework.security.web.access.ExceptionTranslationFilter@336a6961, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2d985de]
""2019-08-02 10:46:26 [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
""2019-08-02 10:46:26 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2019-08-02 10:46:27 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8089 (http) with context path ''
""2019-08-02 10:46:27 [restartedMain] INFO  c.t.apps.LoginAppsApplication - Started LoginAppsApplication in 5.278 seconds (JVM running for 479.067)
""2019-08-02 10:46:27 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
""2019-08-02 10:46:32 [http-nio-8089-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2019-08-02 10:46:32 [http-nio-8089-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
""2019-08-02 10:46:32 [http-nio-8089-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 6 ms
""2019-08-02 10:46:32 [http-nio-8089-exec-1] INFO  c.t.a.c.PageRedirectController - INSIDE PageRedirectController START METHOD registerPage
""2019-08-02 10:46:33 [http-nio-8089-exec-2] INFO  c.t.apps.controller.TaskController - INSIDE TaskController START METHOD getAllTask
""2019-08-02 10:46:37 [http-nio-8089-exec-6] INFO  c.t.apps.controller.TaskController - INSIDE TaskController START METHOD deleteTaskByTaskId
""2019-08-02 10:46:39 [http-nio-8089-exec-7] INFO  c.t.a.c.PageRedirectController - INSIDE PageRedirectController START METHOD registerPage
""2019-08-02 10:46:39 [http-nio-8089-exec-8] INFO  c.t.apps.controller.TaskController - INSIDE TaskController START METHOD getAllTask
""2019-08-02 10:46:41 [http-nio-8089-exec-3] INFO  c.t.apps.controller.TaskController - INSIDE TaskController START METHOD deleteTaskByTaskId
""2019-08-02 10:46:43 [http-nio-8089-exec-2] INFO  c.t.a.c.PageRedirectController - INSIDE PageRedirectController START METHOD registerPage
""2019-08-02 10:46:43 [http-nio-8089-exec-4] INFO  c.t.apps.controller.TaskController - INSIDE TaskController START METHOD getAllTask
""2019-08-02 10:46:56 [http-nio-8089-exec-9] INFO  c.t.apps.controller.TaskController - INSIDE TaskController START METHOD saveTaskForEmployee
""2019-08-02 10:46:56 [http-nio-8089-exec-9] INFO  c.t.apps.serviceimpl.TaskServiceIMPL - INSIDE TaskServiceIMPL START METHOD saveTaskDetails
""2019-08-02 10:46:56 [pool-3-thread-1] INFO  c.t.a.u.MailsUtils$$EnhancerBySpringCGLIB$$408dd7c5 - INSIDE MailsUtils START sendAssignedTaskDetailsToSupervisor METHOD
""2019-08-02 10:46:58 [http-nio-8089-exec-8] INFO  c.t.apps.controller.TaskController - INSIDE TaskController START METHOD getAllTask
